iter	RMSE
0	0.2267640025
1	0.2176043853
2	0.2098212953
3	0.2020525386
4	0.1956427114
5	0.1884758036
6	0.1816016248
7	0.174370418
8	0.168786901
9	0.1624233475
10	0.1570898291
11	0.1516533114
12	0.1462911193
13	0.1412786618
14	0.1365118496
15	0.1312831843
16	0.1259719744
17	0.1217246066
18	0.1179863609
19	0.1137659664
20	0.1102494522
21	0.1060074295
22	0.1021168155
23	0.09867369177
24	0.09527949445
25	0.09172297433
26	0.08882310243
27	0.08577864903
28	0.08308022351
29	0.08027612399
30	0.07821592347
31	0.07567932438
32	0.07374058171
33	0.07178749595
34	0.06941680763
35	0.06746992332
36	0.06505304244
37	0.06287116473
38	0.06086368177
39	0.05890139736
40	0.05675002297
41	0.05504583339
42	0.05332322971
43	0.05193181327
44	0.05020329456
45	0.04887702285
46	0.04769908465
47	0.04628233082
48	0.04488378312
49	0.0435904215
50	0.04237990456
51	0.04124921618
52	0.04022553967
53	0.03924995906
54	0.03833592543
55	0.0373877585
56	0.03647613785
57	0.03570359179
58	0.03474808713
59	0.033970639
60	0.03304832137
61	0.03240793561
62	0.03173752167
63	0.03111314694
64	0.03059656444
65	0.02983520135
66	0.02928515983
67	0.02856324425
68	0.02797113242
69	0.02745933007
70	0.02692889963
71	0.02649561115
72	0.02592632071
73	0.02541732151
74	0.02508213744
75	0.02463637627
76	0.0242111707
77	0.02377796339
78	0.02331224734
79	0.02288638376
80	0.02242648965
81	0.02201829423
82	0.0216360414
83	0.02123940653
84	0.02090231176
85	0.02066791075
86	0.0203326513
87	0.01996797733
88	0.01969688175
89	0.01938469061
90	0.01914398842
91	0.01895852721
92	0.01860203347
93	0.01836583876
94	0.01824352433
95	0.01799901219
96	0.01777948983
97	0.01761589937
98	0.01738403027
99	0.01710959621
100	0.01691304469
101	0.01668674117
102	0.01653029167
103	0.01636108896
104	0.01615881159
105	0.01597576687
106	0.01579996224
107	0.01560767052
108	0.01544523552
109	0.0152232245
110	0.0150108336
111	0.01486289659
112	0.01474117862
113	0.01460731916
114	0.01446327622
115	0.01430900517
116	0.01417846756
117	0.01402403364
118	0.01388443706
119	0.01370925341
120	0.01361714506
121	0.01340486934
122	0.01325911619
123	0.01311438672
124	0.01296249956
125	0.01286081074
126	0.01273384638
127	0.01262253535
128	0.01250920808
129	0.01230649988
130	0.01218862296
131	0.01210022508
132	0.01201547502
133	0.01182579076
134	0.01163805723
135	0.01153472618
136	0.01143556579
137	0.01131755737
138	0.01125723539
139	0.01118765882
140	0.01109591338
141	0.01096750854
142	0.01082523301
143	0.01073404616
144	0.01065509759
145	0.01052945225
146	0.01045524656
147	0.01039357803
148	0.01033058739
149	0.01024133729
150	0.01018079011
151	0.01010947541
152	0.01000795492
153	0.0099132802
154	0.00981675063
155	0.009759829377
156	0.009692467743
157	0.009554317879
158	0.009499822421
159	0.009409681307
160	0.00937657874
161	0.00924375467
162	0.009193117585
163	0.00910939285
164	0.009064061984
165	0.008978083572
166	0.00892946786
167	0.008833325936
168	0.008721951778
169	0.008694539632
170	0.008639791813
171	0.008575051618
172	0.008487537141
173	0.008454406449
174	0.008422635469
175	0.008334171077
176	0.00825461063
177	0.008173904004
178	0.008146250311
179	0.008063034877
180	0.008005259017
181	0.007908403869
182	0.007819461663
183	0.007791811974
184	0.007764659126
185	0.007687409922
186	0.007661321485
187	0.00758506822
188	0.007537080816
189	0.007507547104
190	0.007438859046
191	0.007415031786
192	0.0073386272
193	0.007268814104
194	0.007185615167
195	0.007117567584
196	0.007043591702
197	0.007014363308
198	0.006951047701
199	0.006880333425
200	0.006861450335
201	0.006834273137
202	0.006813873083
203	0.006762347942
204	0.006718152395
205	0.006636498827
206	0.006563474602
207	0.006499047813
208	0.006429392604
209	0.006375376739
210	0.006309198172
211	0.006248895062
212	0.00619878742
213	0.006142819356
214	0.006081154095
215	0.006022271509
216	0.005966025239
217	0.005917938498
218	0.005854871896
219	0.005823619987
220	0.005771512631
221	0.005741195924
222	0.005698352247
223	0.005651548152
224	0.005610700846
225	0.00558176658
226	0.005551419008
227	0.005521817682
228	0.005460896893
229	0.00541421085
230	0.005391596757
231	0.005357494791
232	0.005319834231
233	0.005298550703
234	0.005230125611
235	0.005213845297
236	0.00519814215
237	0.005173432067
238	0.005130458966
239	0.005094075703
240	0.005059321584
241	0.005044407899
242	0.005003690263
243	0.004970641886
244	0.004909735772
245	0.004892536042
246	0.004843356648
247	0.004805743554
248	0.004765993561
249	0.004726201305
250	0.004708803208
251	0.004670567874
252	0.004657542959
253	0.004625577276
254	0.004594435758
255	0.004580928643
256	0.004550634565
257	0.004514313798
258	0.0044803624
259	0.004450208551
260	0.004435215053
261	0.004412052834
262	0.004398570407
263	0.004374769457
264	0.00433738192
265	0.00432609618
266	0.004297443211
267	0.004251419819
268	0.004240459888
269	0.004206963138
270	0.004173818728
271	0.004129870822
272	0.0040968795
273	0.004068115832
