Model,RMSE,MAE,R2
XGBoost,0.011273798117210914,0.006229409440181624,0.9884715985938843
RandomForest,0.011952067479528736,0.004683484864267348,0.9870426957800444
LightGBM,0.013925958719284284,0.008143344157169663,0.9824094754801137
CatBoost,0.020557183579650248,0.00774942627977408,0.9616685003006938
