feature,gain_importance,split_importance
slope_mean,14.66323073277864,1013
slope_std,0.5457362353729,669
aspect_mean,0.38978422826009096,460
aspect_std,0.10431146967476175,471
GHI_mean,0.015637878748253176,124
DNI_mean,0.014974093467930771,82
TEMP_mean,0.006259532202875562,2
DIF_mean,0.002217897458130169,114
DNI_std,0.0005436447360818164,51
GHI_std,0.0004228420837719682,39
PVOUT_mean,8.839345152145128e-05,20
DIF_std,4.0569620741059964e-05,13
PVOUT_std,3.234769963000872e-07,1
TEMP_std,0.0,0
